Sentence,Sentiment,clean,stopped,lemma
"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 .",positive,pre tax loss total mn compar to a loss of mn in the first quarter of,pre tax loss total mn compar loss mn first quarter,pre tax loss total million compar loss million first quarter
"Metrics in QPR ScoreCard now support date , text and milestone-based values , which improve its support for managing projects around performance or process-related content .",positive,metric in qpr scorecard now support date text and mileston base valu which improv it support for manag project around perform or process relat content,metric qpr scorecard support date text mileston base valu improv support manag project around perform process relat content,metric qpr scorecard support date text mileston base valu improv support manag project around perform process relat content
Key level to watch in $FB for today is 25.53-- watching to see if it can hold as support http://stks.co/bOH4,neutral,key level to watch in fb for today is watch to see if it can hold as support http stk co boh4,key level watch fb today watch see hold support http stk co boh4,key level watch fb today watch see hold support http stk company boh4
The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,positive,the pretax profit of the group s life insur busi increas to from,pretax profit group life insur busi increas,pretax profit group life insur busi increas
Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,positive,action to improv oper effici and adjust oper are expect to deliv annualis perman cost save of around and will be effect mostli dure the first half of,action improv oper effici adjust oper expect deliv annualis perman cost save around effect mostli dure first half,action improv oper effici adjust oper expect deliv annualis perman cost save around effect mostli dure first half
The policy was also aimed at making the companies more profitable and competitive .,positive,the polici wa also aim at make the compani more profit and competit,polici wa also aim make compani profit competit,polici wa also aim make compani profit competit
The use case dramatically narrows if you go only with the hot s Ltd.,neutral,the use case dramat narrow if you go onli with the hot s ltd,use case dramat narrow go onli hot ltd,use case dramat narrow go onli hot company
The offer represents a premium of 24 % over the stock 's closing price on Friday .,positive,the offer repres a premium of over the stock s close price on friday,offer repres premium stock close price friday,offer repres premium stock close price friday
"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",positive,earn per share ep are seen at up from,earn per share ep seen up,earn per share ep seen up
The value of the orders is over EUR 25mn .,neutral,the valu of the order is over 25mn,valu order 25mn,valu order 25mn
"The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group .",neutral,the compani said that of the share of the hold compani will be sold to meadvil hold limit a hong kong list parent compani of the meadvil group,compani said share hold compani sold meadvil hold limit hong kong list parent compani meadvil group,compani said share hold compani sold meadvil hold limit hong kong list parent compani meadvil group
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .,neutral,the hack had been extra nefari becaus the tweet activ without be click on it wa enough for web surfer to move their mous cursor over them,hack extra nefari becaus tweet activ without click wa enough web surfer move mous cursor,hack extra nefari becaus tweet activ without click wa enough web surfer move mous cursor
"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",positive,our strateg cooper with rentakran bring us new custom and alreadi work relationship with the author of the new territori said jarmo laasanen a senior manag at cramo,strateg cooper rentakran bring us new custom alreadi work relationship author new territori said jarmo laasanen senior manag cramo,strateg cooper rentakran bring america new custom alreadi work relationship author new territori said jarmo laasanen senior manag cramo
The share of the share capital of both above mentioned shareholders remains below 5 % .,neutral,the share of the share capit of both abov mention sharehold remain below,share share capit abov mention sharehold remain,share share capit abov mention sharehold remain
"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",negative,qcom chart qualcomm short retrac trendlin and resist t co 2wqqh35koy,qcom chart qualcomm short retrac trendlin resist co 2wqqh35koy,qcom chart qualcomm short retrac trendlin resist company 2wqqh35koy
Olli-Pekka Kallasvuo was elected as vice chairman of the Board .,neutral,olli pekka kallasvuo wa elect as vice chairman of the board,olli pekka kallasvuo wa elect vice chairman board,olli pekka kallasvuo wa elect vice chairman board
Efficiency programs totalling 100 million euros are under way in Finnair .,positive,effici program total are under way in finnair,effici program total way finnair,effici program total way finnair
"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",neutral,in penttil s vision the most import reason for the transact is russia,penttil vision import reason transact russia,penttil vision import reason transact russia
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",neutral,in januari august import by sea in contain lorri and trailer unit fell by and export by from the correspond period in,januari august import sea contain lorri trailer unit fell export correspond period,januari august import sea contain lorri trailer unit fell export correspond period
